arm_id	chrom	callable_mb	n_segments	frac_gain	frac_loss	frac_loh	frac_neutral	mean_cn	state_call	masked	source	masked_bool	chrom_from_arm	truth_loh	n_consensus_segments	n_cnloh_segments	n_loh_or_del_segments	any_cnloh_segment	any_loh_or_del_segment	max_p_loh	max_p_loh_or_del	cnloh_bp	loh_or_del_bp	arm_bp	cnloh_frac_arm	loh_or_del_frac_arm	numbat_cnloh_call	numbat_loh_or_del_call
18q	chr18	58.71	20	0.6315	0.3625	0.3005	0.006	3.104	gain	FALSE	masood_consensus	FALSE	18	FALSE	1	0	1	FALSE	TRUE	0.400487557406325	0.999999999976745	0	58609262	58873285	0	0.995515402274563	FALSE	TRUE
19p	chr19	24.14	5	0.4884	0	0.501	0.5116	2.977	mixed	FALSE	masood_consensus	FALSE	19	TRUE	4	0	2	FALSE	TRUE	0.125495843552871	1	0	18971026	24199999	0	0.783926726608542	FALSE	TRUE
19q	chr19	30.51	4	0.6469	0	0.654	0.3531	3.248	gain	FALSE	masood_consensus	FALSE	19	TRUE	1	0	1	FALSE	TRUE	0.125495843552871	1	0	30459186	30517616	0	0.998085368136227	FALSE	TRUE
20p	chr20	25.64	1	0.9993	0	0	7e-04	3.036	gain	FALSE	masood_consensus	FALSE	20	FALSE	1	0	0	FALSE	FALSE	0.0639845105367378	0.0639845105367378	0	0	25699999	0	0	FALSE	FALSE
20q	chr20	33.75	6	1	0	0	0	3.924	gain	FALSE	masood_consensus	FALSE	20	FALSE	1	0	0	FALSE	FALSE	0.0639845105367378	0.0639845105367378	0	0	34044167	0	0	FALSE	FALSE
13q	chr13	95.25	16	0.3161	0.0873	0.5888	0.5966	2.359	mixed	FALSE	masood_consensus	FALSE	13	TRUE	5	1	2	TRUE	TRUE	0.808577650436579	1	4413202	73392503	95464328	0.0462288070576478	0.768795051906719	FALSE	TRUE
14q	chr14	88.41	17	0.777	0	0.3882	0.223	4.361	gain	FALSE	masood_consensus	FALSE	14	FALSE	5	2	2	TRUE	TRUE	0.991199701991114	1	75136316	75136316	88843718	0.845713323253761	0.845713323253761	TRUE	TRUE
15q	chr15	81.19	9	0.5737	0.0012	0.4063	0.4251	3.525	gain	FALSE	masood_consensus	FALSE	15	FALSE	5	2	4	TRUE	TRUE	0.998187372916048	1	41374313	80549022	81491189	0.507715171513819	0.988438418784146	TRUE	TRUE
21q	chr21	33.65	4	0.0302	0.058	0.0282	0.9119	1.972	neutral	FALSE	masood_consensus	FALSE	21	FALSE	2	1	1	TRUE	TRUE	0.998912348100457	0.998912349659713	33635595	33635595	33709983	0.997793294645091	0.997793294645091	TRUE	TRUE
22q	chr22	33.21	18	0.8601	0	0.5481	0.1399	4.694	gain	FALSE	masood_consensus	FALSE	22	TRUE	4	2	3	TRUE	TRUE	0.999954564423852	1	26438563	32742338	33418468	0.791136296253916	0.979767773914711	TRUE	TRUE
